

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
035.209  000.115  000.051: require('luasnip.loaders.util')
035.251  000.041  000.041: require('luasnip.loaders.data')
035.312  000.061  000.061: require('luasnip.loaders.fs_watchers')
035.314  000.330  000.053: require('luasnip.loaders')
035.325  001.325  000.113: require('luasnip')
035.372  002.949  000.387: sourcing /Users/amer3107/.local/share/nvim/lazy/LuaSnip/plugin/luasnip.lua
035.422  000.014  000.014: sourcing /Users/amer3107/.local/share/nvim/lazy/LuaSnip/plugin/luasnip.vim
035.732  000.095  000.095: require('vim.diagnostic')
035.734  000.212  000.117: require('lsp-zero.setup')
035.736  000.238  000.026: sourcing /Users/amer3107/.local/share/nvim/lazy/lsp-zero.nvim/plugin/lsp-zero.lua
036.026  000.281  000.281: require('neodev')
036.068  000.041  000.041: require('neodev.config')
036.198  000.041  000.041: require('neodev.util')
036.199  000.086  000.044: require('neodev.lsp')
036.292  000.092  000.092: require('lspconfig.util')
036.773  000.052  000.052: require('lsp-zero.server')
036.860  000.040  000.040: require('lspconfig.async')
036.862  000.088  000.049: require('lspconfig.configs')
036.992  000.081  000.081: require('cmp_nvim_lsp.source')
036.994  000.130  000.049: require('cmp_nvim_lsp')
037.100  000.048  000.048: require('lsp-zero.cmp')
037.328  000.081  000.081: require('cmp.utils.char')
037.332  000.125  000.044: require('cmp.utils.str')
037.461  000.040  000.040: require('cmp.utils.buffer')
037.465  000.094  000.054: require('cmp.utils.keymap')
037.466  000.134  000.040: require('cmp.utils.feedkeys')
037.637  000.045  000.045: require('cmp.config.mapping')
037.691  000.038  000.038: require('cmp.utils.cache')
037.785  000.045  000.045: require('cmp.config.compare')
037.786  000.094  000.048: require('cmp.config.default')
037.793  000.245  000.067: require('cmp.config')
037.798  000.331  000.086: require('cmp.utils.async')
037.877  000.038  000.038: require('cmp.utils.pattern')
037.878  000.080  000.042: require('cmp.context')
038.048  000.066  000.066: require('cmp.utils.snippet')
038.093  000.044  000.044: require('cmp.matcher')
038.096  000.169  000.059: require('cmp.entry')
038.099  000.220  000.052: require('cmp.source')
038.184  000.039  000.039: require('cmp.utils.event')
038.314  000.039  000.039: require('cmp.utils.options')
038.316  000.090  000.051: require('cmp.utils.window')
038.317  000.133  000.043: require('cmp.view.docs_view')
038.375  000.057  000.057: require('cmp.view.custom_entries_view')
038.428  000.052  000.052: require('cmp.view.wildmenu_entries_view')
038.474  000.045  000.045: require('cmp.view.native_entries_view')
038.551  000.076  000.076: require('cmp.view.ghost_text_view')
038.555  000.455  000.052: require('cmp.view')
038.841  001.690  000.345: require('cmp.core')
038.927  000.043  000.043: require('cmp.config.sources')
038.965  000.037  000.037: require('cmp.config.window')
039.018  001.916  000.146: require('cmp')
039.371  000.057  000.057: require('lsp-zero.api')
039.375  002.697  000.407: require('lsp-zero')
039.457  000.042  000.042: require('mason-core.path')
039.592  000.088  000.088: require('mason-core.functional')
039.688  000.039  000.039: require('mason-core.functional.data')
039.691  000.090  000.051: require('mason-core.functional.function')
039.738  000.041  000.041: require('mason-core.functional.relation')
039.781  000.039  000.039: require('mason-core.functional.logic')
039.786  000.328  000.070: require('mason-core.platform')
039.832  000.046  000.046: require('mason.settings')
039.833  000.458  000.042: require('mason')
040.017  000.076  000.076: require('mason-core.functional.list')
040.061  000.043  000.043: require('mason-core.functional.string')
040.073  000.190  000.071: require('mason.api.command')
040.121  000.046  000.046: require('mason-registry.sources')
040.253  000.077  000.077: require('mason-core.log')
040.300  000.046  000.046: require('mason-lspconfig.settings')
040.303  000.176  000.053: require('mason-lspconfig')
040.428  000.049  000.049: require('mason-lspconfig.notify')
040.432  000.103  000.054: require('mason-lspconfig.lspconfig_hook')
040.609  000.104  000.104: require('mason-core.functional.table')
040.659  000.226  000.123: require('mason-lspconfig.mappings.server')
040.769  000.049  000.049: require('mason-core.EventEmitter')
040.822  000.052  000.052: require('mason-core.optional')
040.937  000.062  000.062: require('mason-core.async')
040.982  000.044  000.044: require('mason-core.async.uv')
040.988  000.165  000.060: require('mason-core.fs')
040.998  000.338  000.071: require('mason-registry')
041.048  000.049  000.049: require('mason-lspconfig.server_config_extensions')
041.108  000.059  000.059: require('lspconfig.server_configurations.omnisharp')
041.215  000.053  000.053: require('mason-lspconfig.ensure_installed')
041.336  000.062  000.062: require('mason-core.result')
041.538  000.089  000.089: require('mason-core.process')
041.605  000.066  000.066: require('mason-core.spawn')
041.607  000.214  000.059: require('mason-core.managers.powershell')
041.648  000.040  000.040: require('mason.version')
041.649  000.312  000.058: require('mason-core.fetch')
041.700  000.050  000.050: require('mason-core.providers')
041.979  000.136  000.136: require('mason-core.purl')
041.987  000.240  000.104: require('mason-core.package')
042.188  000.072  000.072: require('mason-core.installer.registry.expr')
042.196  000.147  000.075: require('mason-core.installer.registry.link')
042.547  000.071  000.071: require('mason-core.receipt')
042.559  000.157  000.086: require('mason-core.installer.context')
042.613  000.053  000.053: require('mason-core.async.control')
042.680  000.057  000.057: require('mason-core.installer.linker')
042.685  000.352  000.085: require('mason-core.installer')
042.696  000.449  000.097: require('mason-core.installer.managers.std')
042.697  000.501  000.052: require('mason-core.installer.registry.schemas')
042.748  000.051  000.051: require('mason-core.installer.registry.util')
042.763  000.775  000.076: require('mason-core.installer.registry')
042.764  001.063  000.047: require('mason-registry.sources.util')
042.772  001.552  000.065: require('mason-registry.sources.github')
045.720  000.048  000.048: require('mason-core.functional.number')
045.729  000.118  000.070: require('mason-lspconfig.api.command')
045.902  000.084  000.084: require('lspconfig')
045.954  000.051  000.051: require('lspconfig.server_configurations.tsserver')
046.246  000.062  000.062: require('lspconfig.manager')
046.333  000.082  000.082: require('lspconfig.server_configurations.rust_analyzer')
046.909  000.097  000.097: require('lspconfig.server_configurations.elixirls')
047.034  000.080  000.080: require('mason-lspconfig.server_configurations.elixirls')
047.147  000.083  000.083: require('lspconfig.server_configurations.cssmodules_ls')
047.572  000.086  000.086: require('lspconfig.server_configurations.crystalline')
047.915  000.093  000.093: require('lspconfig.server_configurations.lua_ls')
048.248  000.100  000.100: require('lspconfig.server_configurations.pylsp')
048.343  000.062  000.062: require('mason-lspconfig.server_configurations.pylsp')
048.431  000.063  000.063: require('lspconfig.server_configurations.cssls')
048.725  000.056  000.056: require('lspconfig.server_configurations.eslint')
048.940  000.043  000.043: require('lspconfig.server_configurations.clangd')
049.285  000.074  000.074: require('mason-lspconfig.server_configurations.omnisharp')
049.350  000.040  000.040: require('lspconfig.server_configurations.gopls')
050.245  000.037  000.037: require('nvim-autopairs._log')
050.291  000.045  000.045: require('nvim-autopairs.utils')
050.420  000.047  000.047: require('nvim-autopairs.conds')
050.423  000.090  000.043: require('nvim-autopairs.rule')
050.424  000.133  000.042: require('nvim-autopairs.rules.basic')
050.429  000.452  000.237: require('nvim-autopairs')
050.709  000.041  000.041: require('nvim-autopairs.completion.handlers')
050.712  000.835  000.343: require('nvim-autopairs.completion.cmp')
050.755  000.041  000.041: require('lspconfig.server_configurations.dartls')
051.157  000.038  000.038: require('Comment.config')
051.255  000.054  000.054: require('Comment.ft')
051.257  000.099  000.045: require('Comment.utils')
051.297  000.039  000.039: require('Comment.opfunc')
051.332  000.035  000.035: require('Comment.extra')
051.334  000.416  000.205: require('Comment.api')
051.448  000.555  000.139: sourcing /Users/amer3107/.local/share/nvim/lazy/Comment.nvim/plugin/Comment.lua
051.552  000.037  000.037: require('Comment')
051.824  000.116  000.116: sourcing /Users/amer3107/.local/share/nvim/lazy/copilot.vim/plugin/copilot.vim
052.301  000.049  000.049: require('ibl.utils')
052.304  000.095  000.047: require('ibl.config')
052.340  000.036  000.036: require('ibl.indent')
052.343  000.344  000.213: require('ibl.hooks')
052.422  000.036  000.036: require('ibl.highlights')
052.458  000.035  000.035: require('ibl.autocmds')
052.494  000.036  000.036: require('ibl.inlay_hints')
052.531  000.036  000.036: require('ibl.virt_text')
052.637  000.071  000.071: require('ibl.scope_languages')
